OGLE-BLG-CEP-079	F	18.4783248	0.293	0.215	4.470	0.104	2.334
OGLE-BLG-CEP-080	12	0.3328426	0.155	0.172	3.761	0.037	1.629
OGLE-BLG-CEP-081	F	5.9565868	0.436	0.387	5.057	0.109	3.518
OGLE-BLG-CEP-082	1	1.1074534	0.390	0.217	4.745	0.025	2.783
OGLE-BLG-CEP-083	1	0.8414416	0.122	0.099	3.229	0.000	-99.99
OGLE-BLG-CEP-084	F	3.3030949	0.403	0.391	4.532	0.187	2.679
OGLE-BLG-CEP-085	1	1.3953955	0.322	0.220	4.403	0.080	2.802
OGLE-BLG-CEP-086	1	2.2583806	0.288	0.116	4.613	0.000	-99.99
OGLE-BLG-CEP-087	1	2.2217498	0.223	0.139	4.656	0.035	2.546
OGLE-BLG-CEP-088	1	2.1049923	0.215	0.088	4.770	0.019	4.542
OGLE-BLG-CEP-089	F	7.6668862	0.327	0.285	5.628	0.155	3.973
OGLE-BLG-CEP-090	F	2.4796401	0.781	0.541	4.325	0.369	2.605
OGLE-BLG-CEP-091	F	19.4389417	0.476	0.205	4.671	0.134	2.120
OGLE-BLG-CEP-092	F	6.8130854	0.362	0.373	5.197	0.139	3.078
OGLE-BLG-CEP-093	F	3.7335299	0.398	0.367	4.546	0.141	2.872
OGLE-BLG-CEP-094	12	0.3678108	0.115	0.178	2.949	0.066	0.728
OGLE-BLG-CEP-095	F1	0.4332945	0.142	0.225	3.463	0.037	1.030
OGLE-BLG-CEP-096	F	2.0450826	0.662	0.535	4.169	0.430	2.477
OGLE-BLG-CEP-097	1	0.4928016	0.135	0.114	2.465	0.088	3.862
OGLE-BLG-CEP-098	F1	0.6706525	0.098	0.058	4.994	0.076	0.386
OGLE-BLG-CEP-099	F	12.2746272	0.672	0.126	4.567	0.127	1.248
OGLE-BLG-CEP-100	12	0.2408092	0.151	0.174	3.776	0.034	1.461
OGLE-BLG-CEP-101	1	2.6910091	0.198	0.119	5.014	0.000	-99.99
OGLE-BLG-CEP-102	1	1.1003354	0.295	0.191	3.626	0.080	0.930
OGLE-BLG-CEP-103	F	12.1989394	0.576	0.095	4.315	0.144	0.867
OGLE-BLG-CEP-104	F1	3.6774420	0.279	0.247	4.445	0.083	2.625
OGLE-BLG-CEP-105	F	14.3901374	0.783	0.271	4.968	0.090	-99.99
OGLE-BLG-CEP-106	F	3.8797267	0.408	0.387	4.344	0.190	2.750
OGLE-BLG-CEP-107	1	5.6766271	0.171	0.098	4.698	0.000	-99.99
OGLE-BLG-CEP-108	F	10.1915711	0.546	0.000	-99.99	0.125	0.293
OGLE-BLG-CEP-109	1	1.6723605	0.144	0.244	4.585	0.000	-99.99
OGLE-BLG-CEP-110	F	23.2967459	0.616	0.275	4.591	0.158	2.344
OGLE-BLG-CEP-111	F	15.0697618	0.623	0.185	4.474	0.126	1.620
OGLE-BLG-CEP-112	F	7.3351299	0.469	0.285	5.199	0.143	3.170
OGLE-BLG-CEP-113	F	6.9544933	0.459	0.294	5.030	0.115	2.827
OGLE-BLG-CEP-114	1	1.8559817	0.165	0.123	4.372	0.000	-99.99
OGLE-BLG-CEP-115	F	9.1850029	0.415	0.173	5.180	0.104	4.289
OGLE-BLG-CEP-116	F	5.3458607	0.579	0.424	5.157	0.217	3.161
OGLE-BLG-CEP-118	1	2.9685062	0.099	0.134	3.676	0.000	-99.99
OGLE-BLG-CEP-119	1	2.1378739	0.221	0.117	5.021	0.000	-99.99
OGLE-BLG-CEP-120	F	7.9724085	0.392	0.223	5.288	0.135	3.223
OGLE-BLG-CEP-121	F	31.6254935	0.888	0.323	4.900	0.236	3.068
OGLE-BLG-CEP-122	F	12.8113364	0.552	0.115	4.085	0.127	0.896
OGLE-BLG-CEP-123	F	13.6804203	0.746	0.234	4.779	0.128	2.331
OGLE-BLG-CEP-124	F	12.1069568	0.636	0.153	4.527	0.110	1.319
OGLE-BLG-CEP-125	F	14.2554358	0.723	0.231	4.665	0.136	2.103
OGLE-BLG-CEP-126	1	5.9418986	0.171	0.162	4.430	0.051	2.587
OGLE-BLG-CEP-127	F	5.5192640	0.678	0.323	5.024	0.147	3.434
OGLE-BLG-CEP-128	F	45.6429472	0.660	0.364	4.860	0.195	3.349
OGLE-BLG-CEP-129	F	3.7217817	0.494	0.424	4.793	0.234	3.262
OGLE-BLG-CEP-130	F	3.3257789	0.759	0.511	4.503	0.315	2.742
OGLE-BLG-CEP-131	F	10.2138005	0.592	0.150	5.004	0.096	1.195
OGLE-BLG-CEP-132	F	2.1471796	0.561	0.512	4.423	0.317	2.728
OGLE-BLG-CEP-133	F	7.3881862	0.298	0.334	5.010	0.000	-99.99
OGLE-BLG-CEP-134	F	6.2995341	0.386	0.283	4.772	0.070	2.885
OGLE-BLG-CEP-135	1	5.9670903	0.128	0.134	4.457	0.000	-99.99
OGLE-BLG-CEP-136	F	12.9563587	0.775	0.142	4.833	0.109	2.079
OGLE-BLG-CEP-137	1	4.7994885	0.178	0.088	3.733	0.027	0.253
OGLE-BLG-CEP-138	F	19.7988478	0.436	0.288	4.523	0.142	2.830
OGLE-BLG-CEP-139	F	14.5497275	0.732	0.240	4.601	0.157	2.225
OGLE-BLG-CEP-140	F	12.7743516	0.555	0.106	4.003	0.133	0.903
OGLE-BLG-CEP-141	1	1.1016201	0.280	0.250	4.050	0.108	2.633
OGLE-BLG-CEP-143	F	7.2012745	0.388	0.326	4.822	0.130	3.360
OGLE-BLG-CEP-144	F	15.8859138	0.669	0.201	4.972	0.143	2.212
OGLE-BLG-CEP-145	F	2.6287998	0.501	0.486	4.394	0.262	2.722
OGLE-BLG-CEP-146	F	3.2863219	0.671	0.476	4.356	0.249	2.043
